"DISTRICT","SD","county_id","TOTHH","TOTPOP","TOTACRE","RESACRE","CIACRE","TOTEMP","AGE0519","RETEMPN","FPSEMPN","HEREMPN","OTHEMPN","AGREMPN","MWTEMPN","PRKCST","OPRKCST","area_type","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","household_density","employment_density","density_index","is_cbd","zone_id"
30,3,10,31203,31344,1373.42,343.355,412.026,37444,5260,7489,5617,8238,1872,3744,10484,15,10,3,3705,1892,811,1,3,41.30763151310398,49.56968734982743,22.531544778018926,false,112
22,2,10,10597,28908,870.67,217.668,261.201,12716,4851,2543,1907,2798,636,1272,3560,15,10,3,3417,643,275,1,3,22.129225320494747,26.554235083081174,12.070313952533404,false,113
4,1,10,4915,5258,148.53,22.28,66.838,12288,882,2212,3072,2703,1474,369,2458,30,20,2,621,621,266,1,5,55.15159675935277,137.8846024372181,39.39445567511056,false,114
19,2,10,4588,10516,304.09,76.022,91.227,5506,1765,1101,826,1211,275,551,1542,15,10,3,1243,278,119,1,3,27.43215206069991,32.920974116437165,14.963486154766565,false,115
2,1,10,2533,12583,583.72,204.302,105.07,2026,2111,405,304,446,101,203,567,8,5,4,1487,102,44,1,2,8.187554141939156,6.548750371720777,3.6385138608398178,false,116
3,1,10,12767,30740,7941.76,3970.88,635.341,6384,5158,1277,958,1404,319,638,1788,0,0,5,3633,323,138,1,1,2.7716863780526375,1.3859517378779698,0.9239437020253792,false,117
30,3,10,13475,23396,1900.31,475.078,570.093,16170,3926,3234,2426,3557,808,1617,4528,15,10,3,2765,817,350,1,3,12.89262713948244,15.47115256737893,7.03234207608133,false,118
22,2,10,9082,14778,434.99,65.248,195.746,22705,2480,4087,5676,4995,2725,681,4541,30,20,2,1747,1147,492,1,5,34.797734813827134,86.99433703456783,24.85552486701938,false,119
40,4,10,28113,60306,3208.73,802.182,962.619,33736,10119,6747,5060,7422,1687,3374,9446,15,10,3,7128,1705,731,1,3,15.929841381549535,19.116036312309433,8.689051219065062,false,120
11,2,10,11206,15785,4389.5,1536.325,790.11,8965,2649,1793,1345,1972,449,896,2510,8,5,4,1866,453,194,1,2,4.816811989159379,3.8535355597727854,2.1408318617229605,false,121
