"person_id","household_id","primary_purpose","trip_num","outbound","trip_count","tour_id","purpose","destination_logsum","depart","trip_mode","mode_choice_logsum","trip_id","origin","destination"
26133,26133,"shopping",3,false,3,1071486,"home",,20,"WALK_LOC",10.481169146891844,8571895,9,8
26143,26143,"othmaint",1,true,1,1071891,"othmaint",,15,"WALK",7.690078438031855,8575129,8,25
26143,26143,"othmaint",1,false,1,1071891,"home",,17,"WALK",7.672578469333539,8575133,25,8
26162,26162,"univ",1,true,1,1072673,"univ",,8,"WALK_LOC",4.879407987171775,8581385,8,12
26162,26162,"univ",1,false,1,1072673,"home",,15,"WALK_LOC",4.858249727023657,8581389,12,8
26166,26166,"eatout",1,true,1,1072812,"eatout",,9,"WALK",-0.21000682199623025,8582497,8,4
26166,26166,"eatout",1,false,1,1072812,"home",,13,"WALK",-0.22116540745239063,8582501,4,8
26166,26166,"univ",1,true,1,1072837,"univ",,16,"WALK_LOC",4.153932636401094,8582697,8,12
26166,26166,"univ",1,false,4,1072837,"othdiscr",41.94387173453012,20,"WALK",4.065446548072262,8582701,12,7
26166,26166,"univ",2,false,4,1072837,"eatout",53.67986194658734,21,"WALK_LOC",12.880531262567832,8582702,7,6
26166,26166,"univ",3,false,4,1072837,"escort",49.29151069963256,21,"WALK",10.607629470736116,8582703,6,8
26166,26166,"univ",4,false,4,1072837,"home",,21,"WALK",10.70686644574823,8582704,8,8
26177,26177,"othdiscr",1,true,1,1073282,"othdiscr",,10,"WALK",4.543774476501949,8586257,8,12
26177,26177,"othdiscr",1,false,1,1073282,"home",,14,"WALK",4.487975377122306,8586261,12,8
26178,26178,"univ",1,true,1,1073329,"univ",,8,"WALK",9.848192631557227,8586633,8,9
26178,26178,"univ",1,false,1,1073329,"home",,13,"WALK",9.848192631544872,8586637,9,8
26178,26178,"univ",1,true,1,1073330,"univ",,17,"WALK",8.790398131386107,8586641,8,9
26178,26178,"univ",1,false,2,1073330,"eatout",45.700090180699775,17,"WALK",8.790355932830746,8586645,9,8
26178,26178,"univ",2,false,2,1073330,"home",,17,"WALK",10.680080007319392,8586646,8,8
26188,26188,"univ",1,true,2,1073739,"escort",32.92290078626263,17,"WALK_LOC",9.9369461412689,8589913,8,9
26188,26188,"univ",2,true,2,1073739,"univ",,18,"WALK_LRF",1.0544441262959003,8589914,9,13
26188,26188,"univ",1,false,1,1073739,"home",,20,"WALK_LRF",1.084855045260396,8589917,13,8
26201,26201,"shopping",1,true,1,1074274,"shopping",,8,"WALK_LRF",2.7832044641639313,8594193,8,22
26201,26201,"shopping",1,false,2,1074274,"eatout",39.20637355499939,17,"WALK_LOC",1.518534865053513,8594197,22,7
26201,26201,"shopping",2,false,2,1074274,"home",,18,"WALK",14.329171201473265,8594198,7,8
26204,26204,"othdiscr",1,true,1,1074389,"othdiscr",,14,"WALK",5.455999330206766,8595113,8,16
26204,26204,"othdiscr",1,false,1,1074389,"home",,17,"WALK",5.316499559055845,8595117,16,8
26204,26204,"othmaint",1,true,1,1074392,"othmaint",,12,"WALK",8.02237955902335,8595137,8,8
26204,26204,"othmaint",1,false,1,1074392,"home",,14,"WALK",8.02237955902335,8595141,8,8
26208,26208,"escort",1,true,2,1074537,"shopping",33.273304233969206,11,"WALK",14.303266206797236,8596297,8,7
26208,26208,"escort",2,true,2,1074537,"escort",,11,"WALK",-1.1594736269540242,8596298,7,13
26208,26208,"escort",1,false,1,1074537,"home",,11,"WALK",-1.237533730963094,8596301,13,8
26212,26212,"escort",1,true,1,1074701,"escort",,11,"WALK",12.50297405032379,8597609,8,8
26212,26212,"escort",1,false,1,1074701,"home",,11,"WALK",12.50297405032379,8597613,8,8
26212,26212,"othdiscr",1,true,1,1074717,"othdiscr",,11,"WALK",-1.1713790118787444,8597737,8,13
26212,26212,"othdiscr",1,false,1,1074717,"home",,14,"WALK",-1.2382939859258206,8597741,13,8
26212,26212,"shopping",1,true,1,1074725,"shopping",,8,"WALK_LRF",6.349194281504672,8597801,8,17
26212,26212,"shopping",1,false,3,1074725,"shopping",45.212650925339425,9,"WALK",5.318010832281346,8597805,17,7
26212,26212,"shopping",2,false,3,1074725,"eatout",62.23646296672272,9,"WALK",14.220566217367242,8597806,7,7
26212,26212,"shopping",3,false,3,1074725,"home",,10,"WALK_LOC",14.318329861019016,8597807,7,8
26229,26229,"othmaint",1,true,1,1075417,"othmaint",,6,"WALK",8.971583146175462,8603337,8,7
26229,26229,"othmaint",1,false,2,1075417,"escort",42.23508541432608,22,"WALK",9.04158314184581,8603341,7,7
26229,26229,"othmaint",2,false,2,1075417,"home",,22,"WALK",8.78958316578872,8603342,7,8
26264,26264,"eatout",1,true,1,1076830,"eatout",,15,"WALK_LRF",2.909872609685271,8614641,8,22
26264,26264,"eatout",1,false,2,1076830,"shopping",29.331409050377097,21,"WALK_LOC",2.653263662795911,8614645,22,16
26264,26264,"eatout",2,false,2,1076830,"home",,21,"WALK",7.167258489765591,8614646,16,8
26278,26278,"othdiscr",1,true,1,1077423,"othdiscr",,18,"WALK",4.457544461609562,8619385,8,5
26278,26278,"othdiscr",1,false,1,1077423,"home",,22,"WALK",4.457544459356822,8619389,5,8
26278,26278,"othmaint",1,true,1,1077426,"othmaint",,12,"WALK_LOC",6.78413151722158,8619409,8,9
26278,26278,"othmaint",1,false,1,1077426,"home",,14,"WALK_LOC",6.788146749181724,8619413,9,8
26278,26278,"shopping",1,true,1,1077431,"shopping",,8,"BIKE",-0.9422605033932856,8619449,8,13
26278,26278,"shopping",1,false,2,1077431,"shopping",31.523954962640566,10,"BIKE",-1.0892202713293149,8619453,13,25
26278,26278,"shopping",2,false,2,1077431,"home",,10,"BIKE",13.044090537245296,8619454,25,8
26308,26308,"eatout",1,true,1,1078634,"eatout",,17,"WALK",-0.6232198158047619,8629073,8,15
26308,26308,"eatout",1,false,1,1078634,"home",,19,"WALK",-0.7627169837850736,8629077,15,8
26331,26331,"othmaint",1,true,1,1079599,"othmaint",,12,"WALK_LRF",2.14599347834683,8636793,8,22
26331,26331,"othmaint",1,false,1,1079599,"home",,16,"WALK_LRF",2.162688049190255,8636797,22,8
26337,26337,"othdiscr",1,true,1,1079842,"othdiscr",,18,"WALK",10.557413663630477,8638737,8,9
26337,26337,"othdiscr",1,false,1,1079842,"home",,21,"WALK",10.557413663631937,8638741,9,8
26354,26354,"escort",1,true,1,1080523,"escort",,7,"WALK",-1.1704069213477561,8644185,8,13
26354,26354,"escort",1,false,1,1080523,"home",,7,"WALK",-1.2372366343013743,8644189,13,8
26363,26363,"univ",1,true,1,1080914,"univ",,18,"WALK_LOC",10.118026344993972,8647313,8,9
26363,26363,"univ",1,false,2,1080914,"shopping",53.23768110969096,18,"WALK",10.164917472696562,8647317,9,7
26363,26363,"univ",2,false,2,1080914,"home",,18,"WALK",13.26211162707507,8647318,7,8
26376,26376,"social",1,true,1,1081452,"social",,12,"WALK_LOC",3.32346174620185,8651617,8,11
26376,26376,"social",1,false,2,1081452,"shopping",30.048250702923088,17,"WALK_LOC",2.696767693386184,8651621,11,7
26376,26376,"social",2,false,2,1081452,"home",,17,"WALK_LOC",8.569696121811281,8651622,7,8
26376,26376,"social",1,true,1,1081453,"social",,18,"WALK_LOC",8.593260930841865,8651625,8,7
26376,26376,"social",1,false,1,1081453,"home",,21,"WALK_LOC",8.481655368076394,8651629,7,8
26380,26380,"eatout",1,true,1,1081586,"eatout",,7,"WALK",14.303266206542975,8652689,8,7
26380,26380,"eatout",1,false,1,1081586,"home",,12,"WALK",14.01310622579803,8652693,7,8
26380,26380,"shopping",1,true,1,1081613,"shopping",,13,"WALK",-1.7811342502126595,8652905,8,19
26380,26380,"shopping",1,false,1,1081613,"home",,16,"WALK",-1.474244692240087,8652909,19,8
26415,26415,"othdiscr",1,true,1,1083040,"othdiscr",,12,"WALK",4.840354953144982,8664321,8,11
26415,26415,"othdiscr",1,false,2,1083040,"escort",43.67709352652544,14,"WALK",4.706435516608209,8664325,11,7
26415,26415,"othdiscr",2,false,2,1083040,"home",,14,"WALK",14.013106226297143,8664326,7,8
26415,26415,"shopping",1,true,1,1083048,"shopping",,15,"WALK_LOC",7.140920841124764,8664385,8,16
